round_num,n_samples,accuracy,calibration_accuracy,roc_auc,log_loss,brier_score,avg_confidence,model,dataset
15,620,0.7532258064516129,0.7507987220447284,0.8296201873048908,1.3513703408390707,0.17046255366671137,0.4955931899366875,knn,esta
16,620,0.7629032258064516,0.768976897689769,0.8396253902185224,1.6105279842744686,0.16581825067142578,0.4965523440246317,knn,esta
17,620,0.7806451612903226,0.7919463087248322,0.8517793964620188,1.3180722235030011,0.15815756943957196,0.49951663267972946,knn,esta
18,618,0.7896440129449838,0.7934426229508197,0.8710528796305024,0.9629254138318505,0.14482522710322382,0.5098559103544775,knn,esta
19,602,0.7674418604651163,0.7523510971786834,0.855343760002649,1.2227771903419942,0.1565742256860095,0.5113408002920791,knn,esta
20,592,0.7820945945945946,0.7830508474576271,0.8634324780861943,1.3401812537641211,0.1523309155644832,0.49710306396739573,knn,esta
21,582,0.8195876288659794,0.8206896551724138,0.9016308262774411,0.8262515194958097,0.12621453420769746,0.49746589945954706,knn,esta
22,546,0.826007326007326,0.822463768115942,0.8820257886191953,1.2576843284352797,0.13672792687748347,0.49922780975077763,knn,esta
23,502,0.8047808764940239,0.7953667953667953,0.8842716782273298,1.3263640928720895,0.13736729002986892,0.5026854398947932,knn,esta
24,450,0.8266666666666667,0.8295964125560538,0.9077037037037037,0.8033785119762982,0.1220066138915592,0.4962250768233452,knn,esta
25,406,0.8325123152709359,0.8391959798994975,0.8941857361256037,1.3597561561249796,0.12617828966695857,0.4950383505590239,knn,esta
26,350,0.84,0.8361581920903954,0.9052081632653061,0.9312327024179954,0.12117021881967535,0.5047143207553747,knn,esta
27,288,0.8402777777777778,0.8356164383561644,0.9146894290123457,0.579235073376601,0.11472485500467888,0.49585052883914416,knn,esta
28,226,0.8053097345132744,0.8,0.8741483279818311,0.8683023336750207,0.145187341038965,0.5047919572932087,knn,esta
29,150,0.8333333333333334,0.8289473684210527,0.9100444444444444,0.36528783081763255,0.1213954192971552,0.5035161882523734,knn,esta
30,88,0.8522727272727273,0.8604651162790697,0.9560950413223142,0.2926490732718859,0.09174787332307922,0.457884551781202,knn,esta
1,624,0.6089743589743589,0.6089743589743589,0.6108131985535832,0.6707530824245834,0.23885877551999002,0.4789662718615765,mlp,esta
2,624,0.6474358974358975,0.6503267973856209,0.6654236522024983,0.6486199112649685,0.22812517754443581,0.48788643965996326,mlp,esta
3,624,0.6394230769230769,0.6389776357827476,0.6845003287310979,0.6407368869672101,0.2242207390176155,0.5015277190929952,mlp,esta
4,624,0.6810897435897436,0.6828478964401294,0.7226742274819198,0.6159157380606781,0.21266799013555163,0.4973075521087527,mlp,esta
5,624,0.6987179487179487,0.7026143790849673,0.7485720742932281,0.5952953350770911,0.2039204655021952,0.5012534143719606,mlp,esta
6,622,0.6913183279742765,0.6913183279742765,0.7588010876645197,0.584944542485488,0.19969953044582622,0.5012911424614873,mlp,esta
7,620,0.6854838709677419,0.6825396825396826,0.7652029136316336,0.5784635269798694,0.19725629597025895,0.5009749740148187,mlp,esta
8,620,0.7387096774193549,0.7356687898089171,0.7978147762747138,0.5453590426676052,0.18338788331029254,0.5010740480437469,mlp,esta
9,620,0.7403225806451613,0.7395498392282959,0.8168678459937566,0.5254436437592358,0.17438881691754776,0.5018059860119107,mlp,esta
10,620,0.7193548387096774,0.7151898734177216,0.8137356919875129,0.5291562636939018,0.17672144451975,0.5009788406359916,mlp,esta
11,620,0.7338709677419355,0.7272727272727273,0.834786680541103,0.49914759994450997,0.16558376632353472,0.5015466221818156,mlp,esta
12,620,0.7790322580645161,0.7763578274760383,0.8440582726326744,0.4899065169482042,0.16089460985289442,0.5017894317414345,mlp,esta
13,620,0.7919354838709678,0.7909967845659164,0.8659625390218522,0.45944580323434436,0.14796369384526833,0.5058686848798716,mlp,esta
14,620,0.7661290322580645,0.7635782747603834,0.859614984391259,0.4693292331672641,0.15170145442388644,0.5048614485338941,mlp,esta
15,620,0.7790322580645161,0.7817589576547231,0.8582622268470343,0.47424668200613124,0.154880120503867,0.5019788064174767,mlp,esta
16,620,0.7887096774193548,0.8013468013468014,0.8710405827263267,0.4503225265641018,0.14663230320337511,0.4879890354784863,mlp,esta
17,620,0.7919354838709678,0.7891373801916933,0.8831841831425599,0.4323711236160465,0.14209393118997954,0.49723799917172307,mlp,esta
18,618,0.7799352750809061,0.7746031746031746,0.8829714812371048,0.43400977792271805,0.14374037159176867,0.5036321819564272,mlp,esta
